bookID,title,authors,isbn
7271,Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity,Elliott A. Norse/Larry B. Crowder/Michael E. Soulé,1559636629
7277,Key Topics in Conservation Biology,David W. Macdonald/Alonzo C. Addison/Sandra Baker/Mark S. Boyce/David Brown/Stephen Cobb/N. Mark Collins/C. Patrick Doncaster/John E. Fa/Joshua Ginsberg/Susanna B. Hecht/Katrina Service/Steve Albon/Les Firbank/Eli Geffen/Lise Albrechtsen/Elizabeth J. Asteraki/Christian Bonacic/Marcel Cardillo/Chris R. Dickman/Stephen A. Ellwood/H. Resit Akcakaya/Ruth E. Feber,1405122498
7286,The Sawtooth Wolves,Jim Dutcher/Eric Baker/Greg Simpson/Richard Ballantine,0964991500
7304,Rainforest Home Remedies: The Maya Way To Heal Your Body and Replenish Your Soul,Rosita Arvigo/Nadine Epstein,006251637X
7315,Zolar's Encyclopedia and Dictionary of Dreams: Fully Revised and Updated for the 21st Century,Zolar,0743222636
7321,The Complete Dream Dictionary,Pamela Ball,0785812148
7331,Letters from Father Christmas,J.R.R. Tolkien/Baillie Tolkien,0618512659
7332,The Silmarillion,J.R.R. Tolkien/Christopher Tolkien/Ted Nasmith,0618391118
7336,J.R.R. Tolkien: A Biography,Humphrey Carpenter,0618057021
7337,The Tolkien Reader,J.R.R. Tolkien/Peter S. Beagle,0345345061
7338,Tolkien on Film: Essays on Peter Jackson's The Lord of the Rings,Janet Brennan Croft/Mark P. Shea/Amy H. Sturgis,1887726098
7339,The Monsters and the Critics and Other Essays,J.R.R. Tolkien/Christopher Tolkien,026110263X
7340,The Maps of Tolkien's Middle-earth,Brian Sibley/John  Howe/J.R.R. Tolkien,061839110X
7341,The Gospel According to Tolkien: Visions of the Kingdom in Middle-Earth,Ralph C. Wood,0664226108
7342,The Treason of Isengard: The History of The Lord of the Rings  Part Two (The History of Middle-earth  #7),J.R.R. Tolkien/Christopher Tolkien,0261102206
7343,Tolkien and the Great War: The Threshold of Middle-earth,John Garth,0618574816
7344,Tolkien and C.S. Lewis: The Gift of a Friendship,Colin Duriez,1587680262
7347,The Book of Lost Tales  Part One (The History of Middle-Earth  #1),J.R.R. Tolkien/Christopher Tolkien,0345375211
7348,Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth,J.R.R. Tolkien,0007105045
7351,The Lord of the Rings: The Making of the Movie Trilogy,Brian Sibley/Ian McKellen,0618260226
7352,Tolkien: A Look Behind The Lord of the Rings,Lin Carter,0345215508
7353,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Rob Inglis,1402516274
7360,Midnight in the Garden of Good and Evil,John Berendt,0679643419
7361,Tom's Midnight Garden,Philippa Pearce,0140364544
